iter	Passed	Remaining
1680	2653	5238
1681	2654	5236
1682	2656	5236
1683	2658	5234
1684	2659	5232
1685	2662	5232
1686	2663	5231
1687	2664	5228
1688	2666	5227
1689	2667	5225
1690	2669	5223
1691	2670	5221
1692	2672	5219
1693	2673	5217
1694	2674	5215
1695	2676	5213
1696	2677	5211
1697	2679	5209
1698	2680	5208
1699	2682	5206
1700	2684	5206
1701	2686	5204
1702	2687	5203
1703	2689	5201
1704	2690	5199
1705	2691	5197
1706	2693	5195
1707	2694	5194
1708	2696	5192
1709	2697	5190
1710	2699	5188
1711	2700	5187
1712	2702	5185
1713	2704	5184
1714	2705	5182
1715	2707	5180
1716	2708	5179
1717	2710	5177
1718	2711	5175
1719	2713	5173
1720	2714	5171
1721	2715	5169
1722	2717	5167
